N,P,K,temperature,humidity,ph,rainfall,label,season,month,state
50.29,55.96,44.75,37.12,37.79,7.34,70.78,pearl_millet,Kharif,7,UP
55.79,34.95,42.82,29.6,73.05,7.97,57.02,pearl_millet,Kharif,9,MH
87.79,57.4,29.0,34.2,52.77,7.46,55.22,pearl_millet,Kharif,7,UP
49.55,33.95,19.69,29.15,77.4,6.49,58.42,pearl_millet,Kharif,7,RJ
83.45,43.87,38.39,34.5,44.98,6.32,59.24,pearl_millet,Kharif,7,MH
69.62,18.5,43.01,31.57,54.25,7.96,48.26,pearl_millet,Kharif,6,UP
53.12,37.09,40.25,37.68,67.74,7.57,89.74,pearl_millet,Kharif,9,HR
45.8,34.07,31.43,29.84,50.56,7.0,65.67,pearl_millet,Kharif,8,UP
103.42,38.92,60.06,29.63,52.31,6.79,68.5,pearl_millet,Kharif,8,UP
38.29,55.87,69.92,34.5,53.49,6.65,79.01,pearl_millet,Kharif,6,MH
48.55,40.1,56.45,25.45,59.71,5.78,40.41,pearl_millet,Kharif,9,UP
63.82,58.1,32.44,25.89,62.73,7.36,32.11,pearl_millet,Kharif,6,GJ
41.59,35.08,58.16,28.75,39.83,6.97,36.07,pearl_millet,Kharif,6,HR
64.68,39.46,25.82,28.61,44.68,7.13,64.45,pearl_millet,Kharif,9,GJ
85.41,47.82,69.66,25.96,55.21,7.84,52.11,pearl_millet,Kharif,10,GJ
33.7,57.64,60.1,29.62,50.14,7.68,49.08,pearl_millet,Kharif,8,GJ
84.09,46.1,38.33,34.38,42.98,5.98,33.58,pearl_millet,Kharif,8,MH
45.56,27.06,47.63,31.32,63.07,6.74,34.51,pearl_millet,Kharif,7,RJ
63.64,49.35,49.76,33.52,41.16,6.77,39.14,pearl_millet,Kharif,7,HR
55.57,39.1,80.0,32.27,51.84,6.13,18.35,pearl_millet,Kharif,8,RJ
46.86,63.65,26.26,32.73,50.9,5.99,45.4,pearl_millet,Kharif,9,RJ
72.0,45.58,53.01,32.07,72.51,6.05,68.52,pearl_millet,Kharif,6,MH
81.97,22.77,53.94,32.54,66.13,7.69,63.59,pearl_millet,Kharif,6,UP
67.0,50.59,24.85,30.87,70.56,7.04,62.36,pearl_millet,Kharif,6,UP
75.11,30.92,26.75,37.76,59.18,7.25,23.66,pearl_millet,Kharif,9,MH
81.33,52.42,15.91,30.19,42.45,7.05,92.45,pearl_millet,Kharif,9,MH
88.12,33.48,49.32,30.93,48.75,6.06,51.02,pearl_millet,Kharif,9,HR
72.3,60.3,54.92,28.41,68.26,6.87,59.95,pearl_millet,Kharif,9,GJ
54.13,47.64,63.86,33.97,60.45,7.32,21.77,pearl_millet,Kharif,9,RJ
43.76,40.28,67.63,29.27,63.93,7.89,66.55,pearl_millet,Kharif,9,UP
57.38,30.97,47.63,29.87,48.31,6.95,56.18,pearl_millet,Kharif,7,MH
69.53,55.74,38.09,36.25,65.54,6.65,48.01,pearl_millet,Kharif,9,MH
42.66,18.67,23.87,31.2,50.29,6.77,60.84,pearl_millet,Kharif,8,GJ
59.66,54.45,20.63,31.63,52.49,6.25,33.6,pearl_millet,Kharif,7,MH
34.03,58.85,24.18,38.07,63.11,6.98,88.28,pearl_millet,Kharif,7,RJ
66.52,43.38,47.49,33.43,58.67,7.69,58.17,pearl_millet,Kharif,7,UP
92.95,29.81,28.73,28.21,58.48,7.46,50.66,pearl_millet,Kharif,9,GJ
51.54,17.51,61.89,31.93,67.82,7.01,59.03,pearl_millet,Kharif,6,GJ
46.82,62.98,15.38,34.22,61.86,6.17,47.82,pearl_millet,Kharif,10,HR
41.45,31.85,25.05,38.62,52.28,6.56,73.5,pearl_millet,Kharif,9,GJ
85.46,63.13,55.52,29.09,47.39,6.72,48.59,pearl_millet,Kharif,10,UP
34.62,47.19,59.65,36.27,57.13,6.26,71.43,pearl_millet,Kharif,8,RJ
40.79,33.71,47.18,25.69,60.99,6.52,68.25,pearl_millet,Kharif,9,MH
29.55,47.29,56.31,25.06,44.28,7.46,73.26,pearl_millet,Kharif,9,RJ
91.27,14.62,39.22,34.47,66.1,7.76,63.36,pearl_millet,Kharif,10,RJ
26.73,20.39,61.69,28.08,70.01,7.68,36.78,pearl_millet,Kharif,8,UP
62.12,39.03,56.52,25.02,75.87,7.4,47.28,pearl_millet,Kharif,7,HR
52.03,16.76,62.36,26.56,66.66,7.61,80.65,pearl_millet,Kharif,7,GJ
61.27,66.82,48.18,39.55,47.24,7.17,28.85,pearl_millet,Kharif,8,HR
78.98,14.34,58.34,32.13,70.24,6.24,76.22,pearl_millet,Kharif,7,HR
97.49,46.69,12.7,30.23,59.12,7.19,50.91,pearl_millet,Kharif,10,HR
79.62,39.96,27.67,34.91,60.92,6.7,75.1,pearl_millet,Kharif,10,MH
74.85,38.8,22.58,24.28,48.25,7.94,59.41,pearl_millet,Kharif,8,RJ
51.3,53.25,43.18,33.6,75.81,6.61,35.98,pearl_millet,Kharif,7,RJ
48.58,40.0,47.95,32.97,69.36,7.4,44.55,pearl_millet,Kharif,7,HR
98.03,68.6,24.6,29.03,75.39,6.67,57.1,pearl_millet,Kharif,9,HR
81.38,70.27,47.89,32.23,64.18,7.39,30.35,pearl_millet,Kharif,7,GJ
57.89,14.08,42.19,33.18,55.44,6.09,74.27,pearl_millet,Kharif,6,MH
90.79,37.05,13.93,27.45,54.41,7.18,51.24,pearl_millet,Kharif,9,GJ
68.31,56.37,32.45,29.38,58.09,7.14,77.08,pearl_millet,Kharif,6,MH
70.32,21.85,49.2,26.9,49.0,6.9,22.5,pearl_millet,Kharif,6,HR
34.36,45.64,46.23,27.27,65.03,6.27,78.92,pearl_millet,Kharif,6,MH
33.59,61.68,11.79,25.88,48.19,7.94,27.04,pearl_millet,Kharif,8,RJ
82.63,56.28,27.5,26.08,70.14,5.75,55.69,pearl_millet,Kharif,7,UP
58.13,56.17,52.8,28.53,63.91,7.78,62.91,pearl_millet,Kharif,9,RJ
65.59,29.44,42.68,36.24,43.52,6.93,50.43,pearl_millet,Kharif,10,HR
75.59,36.87,26.02,29.97,73.42,6.77,46.01,pearl_millet,Kharif,8,RJ
54.22,48.55,37.5,33.12,70.98,8.06,72.34,pearl_millet,Kharif,9,MH
82.64,51.3,23.35,29.89,47.26,6.92,37.41,pearl_millet,Kharif,6,MH
33.1,48.68,52.32,36.61,57.73,7.51,44.01,pearl_millet,Kharif,8,HR
53.66,26.9,61.85,31.14,61.41,6.69,35.35,pearl_millet,Kharif,9,GJ
100.39,64.29,31.14,31.13,66.41,6.47,58.61,pearl_millet,Kharif,7,MH
75.36,19.39,61.79,34.06,43.01,7.13,62.33,pearl_millet,Kharif,7,RJ
64.0,50.59,29.94,26.5,67.35,6.17,74.21,pearl_millet,Kharif,8,HR
62.75,67.71,33.39,32.64,69.91,6.62,62.75,pearl_millet,Kharif,7,RJ
38.38,33.57,45.36,29.18,54.59,7.83,46.51,pearl_millet,Kharif,7,UP
37.78,25.43,14.39,37.44,41.29,6.53,29.6,pearl_millet,Kharif,6,HR
48.93,21.05,43.18,32.4,69.92,6.84,69.58,pearl_millet,Kharif,8,RJ
69.69,61.66,64.79,29.42,59.52,6.19,47.84,pearl_millet,Kharif,10,GJ
33.89,37.81,40.97,30.26,70.15,7.51,45.5,pearl_millet,Kharif,8,GJ
72.48,57.37,67.17,39.67,61.27,7.84,34.48,pearl_millet,Kharif,6,RJ
65.4,42.47,67.52,34.3,66.37,7.57,81.09,pearl_millet,Kharif,8,MH
28.02,38.32,45.03,31.05,62.77,7.96,52.14,pearl_millet,Kharif,9,MH
51.44,59.19,48.86,35.58,66.02,6.52,29.37,pearl_millet,Kharif,8,RJ
76.07,25.47,60.78,35.46,63.14,8.09,43.08,pearl_millet,Kharif,8,MH
50.04,30.16,63.25,30.08,60.66,6.72,65.68,pearl_millet,Kharif,6,MH
72.9,66.79,20.22,33.13,64.6,5.88,43.17,pearl_millet,Kharif,8,MH
64.06,63.05,24.92,30.27,63.7,6.25,31.28,pearl_millet,Kharif,9,HR
34.68,20.69,62.53,25.91,73.26,5.91,70.33,pearl_millet,Kharif,8,MH
54.88,25.14,55.28,32.19,55.0,6.31,71.97,pearl_millet,Kharif,7,MH
63.87,22.07,68.1,27.52,57.71,7.96,44.68,pearl_millet,Kharif,9,RJ
92.59,23.04,14.67,34.97,73.21,7.22,90.73,pearl_millet,Kharif,8,HR
45.19,37.83,57.85,29.2,73.99,5.88,59.25,pearl_millet,Kharif,10,UP
55.19,62.14,58.03,34.93,49.57,6.48,50.79,pearl_millet,Kharif,8,HR
36.64,20.74,50.76,32.16,47.41,6.22,21.88,pearl_millet,Kharif,7,MH
45.57,33.6,17.48,31.04,42.99,6.76,73.55,pearl_millet,Kharif,7,UP
71.84,33.41,20.47,29.18,65.48,7.69,86.03,pearl_millet,Kharif,7,RJ
73.74,16.4,43.0,36.22,64.05,6.53,15.0,pearl_millet,Kharif,9,MH
99.42,27.78,51.93,28.82,58.93,7.3,21.18,pearl_millet,Kharif,10,MH
41.55,51.68,20.26,29.38,72.15,7.87,70.79,pearl_millet,Kharif,9,RJ
49.73,17.35,23.11,31.84,54.76,7.84,59.05,pearl_millet,Kharif,8,HR
58.64,24.34,36.81,33.7,61.04,6.7,41.69,pearl_millet,Kharif,10,HR
83.04,25.89,19.05,32.87,63.74,7.8,57.75,pearl_millet,Kharif,6,GJ
47.53,18.36,22.51,34.19,53.09,6.93,65.63,pearl_millet,Kharif,8,GJ
88.48,21.12,38.37,29.35,67.7,6.54,63.35,pearl_millet,Kharif,9,MH
54.23,26.01,35.6,32.4,72.91,7.08,69.24,pearl_millet,Kharif,6,UP
51.42,30.09,47.23,32.57,70.08,7.8,35.79,pearl_millet,Kharif,8,UP
26.48,33.6,49.23,37.6,58.85,6.43,59.46,pearl_millet,Kharif,8,HR
21.49,61.53,62.16,29.02,68.42,6.68,81.77,pearl_millet,Kharif,10,RJ
37.85,58.12,68.43,28.95,44.61,6.23,58.8,pearl_millet,Kharif,9,UP
91.39,42.79,62.77,28.63,46.28,6.01,54.9,pearl_millet,Kharif,7,GJ
61.77,41.48,18.78,27.83,43.96,6.45,91.4,pearl_millet,Kharif,6,GJ
47.38,17.71,29.29,32.67,40.32,6.72,61.99,pearl_millet,Kharif,9,MH
93.08,44.67,26.47,33.15,54.99,6.06,47.34,pearl_millet,Kharif,7,UP
79.34,58.99,16.29,28.36,54.55,6.65,49.74,pearl_millet,Kharif,6,UP
73.52,25.13,27.32,29.32,63.41,8.03,64.79,pearl_millet,Kharif,8,HR
59.97,22.77,48.76,30.52,41.82,7.75,67.14,pearl_millet,Kharif,6,GJ
52.63,27.27,63.43,25.04,51.2,5.97,18.85,pearl_millet,Kharif,9,RJ
74.23,38.17,20.79,36.92,63.31,7.74,70.89,pearl_millet,Kharif,10,HR
82.99,45.16,51.15,29.45,43.79,6.57,68.68,pearl_millet,Kharif,10,GJ
63.42,29.13,63.43,32.63,41.26,7.29,67.65,pearl_millet,Kharif,6,GJ
76.78,61.73,23.26,26.66,62.16,7.76,66.93,pearl_millet,Kharif,10,RJ
45.03,32.05,25.68,31.2,38.96,6.9,67.37,pearl_millet,Kharif,9,RJ
80.24,50.07,56.88,32.69,44.73,7.39,74.23,pearl_millet,Kharif,7,UP
33.44,59.14,70.36,29.07,71.33,6.52,71.61,pearl_millet,Kharif,10,MH
100.09,61.49,53.23,37.1,58.67,5.71,15.52,pearl_millet,Kharif,9,RJ
100.93,60.59,32.86,36.59,54.84,6.3,54.27,pearl_millet,Kharif,6,UP
35.1,36.79,58.71,32.64,41.73,6.88,38.11,pearl_millet,Kharif,6,MH
94.84,20.59,31.82,29.23,54.34,7.22,87.02,pearl_millet,Kharif,9,RJ
71.36,48.23,53.99,24.65,48.95,7.34,70.05,pearl_millet,Kharif,9,GJ
34.04,37.82,66.4,29.51,64.82,7.66,49.29,pearl_millet,Kharif,10,RJ
43.03,71.2,58.4,27.52,59.43,5.72,41.64,pearl_millet,Kharif,7,UP
36.39,39.74,46.4,25.81,41.4,7.24,40.64,pearl_millet,Kharif,6,MH
83.39,63.01,33.06,34.98,68.98,6.68,68.29,pearl_millet,Kharif,9,GJ
95.3,36.35,62.16,28.14,62.73,6.25,58.12,pearl_millet,Kharif,7,GJ
73.4,45.46,40.11,32.75,52.99,7.54,49.06,pearl_millet,Kharif,6,MH
54.51,34.11,58.77,30.69,56.09,7.75,70.02,pearl_millet,Kharif,9,GJ
75.38,40.95,54.69,34.67,55.49,7.81,22.05,pearl_millet,Kharif,7,GJ
67.23,28.45,44.26,33.21,50.5,6.9,73.77,pearl_millet,Kharif,10,UP
95.57,17.12,16.59,31.84,58.77,7.41,29.07,pearl_millet,Kharif,6,UP
80.1,26.13,52.19,25.1,69.14,7.3,75.22,pearl_millet,Kharif,8,HR
32.74,39.75,42.28,32.82,43.87,7.37,36.76,pearl_millet,Kharif,9,GJ
92.04,43.64,61.33,30.58,66.39,7.18,31.38,pearl_millet,Kharif,8,RJ
54.18,57.91,40.19,26.46,60.3,6.49,17.7,pearl_millet,Kharif,6,HR
78.95,44.95,22.27,24.9,62.51,6.42,39.27,pearl_millet,Kharif,10,MH
77.83,64.6,57.89,24.94,51.11,6.25,74.67,pearl_millet,Kharif,6,HR
56.8,46.52,49.54,35.21,64.53,6.42,56.34,pearl_millet,Kharif,10,MH
57.07,40.75,8.14,35.35,45.64,7.65,62.68,pearl_millet,Kharif,6,MH
27.39,32.96,27.7,28.43,56.82,6.78,56.94,pearl_millet,Kharif,7,UP
84.05,17.05,71.64,29.83,66.2,6.68,73.01,pearl_millet,Kharif,8,UP
40.11,23.69,28.73,31.42,52.33,6.76,50.75,pearl_millet,Kharif,7,UP
65.84,24.97,54.47,34.8,46.97,6.49,56.84,pearl_millet,Kharif,6,UP
55.29,30.54,46.91,23.85,75.55,7.51,44.69,pearl_millet,Kharif,7,HR
66.17,30.95,32.07,29.23,44.44,6.86,80.04,pearl_millet,Kharif,6,GJ
65.01,50.03,37.7,32.49,56.97,6.22,60.38,pearl_millet,Kharif,6,UP
32.34,51.93,43.96,35.02,46.19,6.68,35.19,pearl_millet,Kharif,6,GJ
74.98,48.29,32.35,30.89,50.62,6.48,32.51,pearl_millet,Kharif,10,HR
50.74,31.57,23.37,26.28,52.69,6.71,85.67,pearl_millet,Kharif,10,HR
39.3,32.67,27.62,31.01,35.0,7.55,33.99,pearl_millet,Kharif,9,HR
54.24,34.43,56.18,24.95,46.82,7.46,83.96,pearl_millet,Kharif,10,HR
56.95,38.44,36.87,32.62,64.2,6.84,57.52,pearl_millet,Kharif,8,RJ
72.45,66.99,23.02,31.2,58.02,7.12,70.43,pearl_millet,Kharif,6,MH
85.17,27.37,28.85,29.96,42.24,6.88,76.16,pearl_millet,Kharif,6,RJ
58.54,69.9,59.77,24.45,61.35,7.78,74.87,pearl_millet,Kharif,10,RJ
54.86,20.99,42.3,34.59,53.89,7.93,30.18,pearl_millet,Kharif,10,MH
39.58,18.95,43.67,35.93,45.56,7.81,30.47,pearl_millet,Kharif,8,HR
47.09,23.24,45.74,28.96,55.04,6.93,72.03,pearl_millet,Kharif,6,UP
91.6,43.47,62.41,27.64,55.43,6.23,96.02,finger_millet,Kharif,7,OD
77.94,51.32,69.76,28.47,80.32,5.68,69.78,finger_millet,Kharif,10,AP
46.37,50.76,29.27,25.85,73.62,7.26,96.96,finger_millet,Kharif,7,TN
94.92,29.25,77.38,26.16,72.58,5.29,84.2,finger_millet,Kharif,8,OD
101.65,56.74,40.9,30.28,72.4,5.68,68.89,finger_millet,Kharif,10,MH
44.89,48.32,62.85,26.22,80.8,5.51,92.02,finger_millet,Kharif,8,KA
98.09,35.73,54.17,21.11,75.59,6.69,125.24,finger_millet,Kharif,8,TN
39.03,51.68,73.9,28.54,66.4,6.86,107.59,finger_millet,Kharif,10,TN
85.2,55.92,70.59,30.44,59.13,6.41,59.36,finger_millet,Kharif,7,OD
52.1,48.96,40.87,32.6,66.83,6.09,66.59,finger_millet,Kharif,6,OD
76.16,50.69,45.23,22.28,62.79,5.97,54.53,finger_millet,Kharif,6,OD
98.43,55.66,63.33,28.25,58.54,6.77,75.18,finger_millet,Kharif,6,TN
67.5,39.53,64.4,23.05,64.26,6.73,86.79,finger_millet,Kharif,7,MH
77.7,43.85,71.8,24.37,53.89,6.43,67.28,finger_millet,Kharif,9,TN
68.33,39.36,67.07,20.84,81.27,6.58,76.95,finger_millet,Kharif,7,OD
95.38,50.87,44.46,27.05,77.26,6.82,112.28,finger_millet,Kharif,7,TN
77.05,64.42,27.26,25.96,78.12,6.38,102.68,finger_millet,Kharif,6,MH
65.87,50.16,72.45,31.25,79.99,6.47,49.61,finger_millet,Kharif,8,KA
67.19,62.74,27.52,25.99,72.37,6.5,94.78,finger_millet,Kharif,6,TN
44.55,33.31,58.93,24.67,76.28,6.15,96.49,finger_millet,Kharif,7,MH
53.81,36.44,34.9,27.09,76.08,5.78,78.67,finger_millet,Kharif,7,OD
112.69,64.15,81.89,31.93,73.71,6.63,45.0,finger_millet,Kharif,9,OD
67.73,54.55,66.86,26.69,80.78,5.78,132.16,finger_millet,Kharif,9,KA
72.07,27.32,51.48,26.94,76.53,5.47,111.06,finger_millet,Kharif,8,KA
63.35,21.19,34.86,32.0,69.46,6.63,82.71,finger_millet,Kharif,9,MH
96.67,46.8,48.05,25.46,55.02,5.48,85.89,finger_millet,Kharif,9,OD
40.12,33.32,60.12,28.01,68.38,6.73,98.47,finger_millet,Kharif,8,AP
46.49,66.55,38.03,24.29,51.75,6.62,102.76,finger_millet,Kharif,10,KA
66.83,73.89,27.82,29.47,73.09,6.71,66.51,finger_millet,Kharif,10,OD
99.9,20.95,23.97,30.54,75.86,6.3,107.59,finger_millet,Kharif,7,AP
64.01,16.2,66.33,28.81,58.43,6.06,86.79,finger_millet,Kharif,10,OD
86.42,53.3,38.64,32.15,74.36,6.47,93.95,finger_millet,Kharif,7,MH
72.94,25.48,45.57,24.3,81.47,6.25,88.11,finger_millet,Kharif,7,OD
50.24,42.82,20.26,24.06,71.79,6.29,67.17,finger_millet,Kharif,9,TN
72.98,60.88,70.13,26.7,69.58,5.58,108.48,finger_millet,Kharif,9,AP
60.76,29.97,34.89,28.78,58.98,6.0,94.41,finger_millet,Kharif,10,AP
61.29,45.32,60.9,30.88,80.29,6.23,100.13,finger_millet,Kharif,8,OD
48.52,37.08,20.97,26.61,60.62,5.77,111.34,finger_millet,Kharif,8,OD
105.99,29.55,41.54,28.31,83.83,6.56,94.43,finger_millet,Kharif,7,AP
65.7,23.89,55.59,23.06,78.65,5.64,87.27,finger_millet,Kharif,8,OD
54.32,52.3,40.55,24.65,71.9,6.89,71.89,finger_millet,Kharif,9,AP
79.94,48.47,25.81,26.62,68.3,6.41,97.72,finger_millet,Kharif,7,AP
85.75,57.33,29.65,24.5,56.29,6.39,74.57,finger_millet,Kharif,8,MH
69.95,31.3,23.61,25.21,64.25,6.41,105.95,finger_millet,Kharif,7,AP
80.32,25.32,44.73,25.42,70.16,5.97,87.44,finger_millet,Kharif,6,OD
81.89,41.54,64.96,21.33,59.0,7.22,117.54,finger_millet,Kharif,6,OD
77.83,46.9,13.42,27.63,60.68,6.56,87.39,finger_millet,Kharif,7,OD
63.95,52.88,49.89,22.31,73.58,6.53,122.37,finger_millet,Kharif,6,OD
68.31,34.57,40.08,23.63,68.31,6.72,88.4,finger_millet,Kharif,8,AP
30.47,31.99,55.61,22.84,65.59,6.49,115.9,finger_millet,Kharif,9,AP
89.59,36.41,37.14,26.11,79.29,6.37,84.96,finger_millet,Kharif,9,TN
97.06,35.41,58.26,27.47,78.26,5.83,57.94,finger_millet,Kharif,6,TN
37.38,54.23,64.97,24.61,75.06,5.74,86.47,finger_millet,Kharif,7,KA
106.47,44.48,41.9,26.18,74.67,6.29,106.76,finger_millet,Kharif,9,TN
67.2,25.27,33.43,26.3,56.73,6.26,111.71,finger_millet,Kharif,8,OD
89.76,50.76,52.79,24.65,74.77,5.72,81.09,finger_millet,Kharif,6,KA
39.79,43.45,31.04,20.75,56.43,6.66,52.68,finger_millet,Kharif,9,TN
76.99,65.84,30.44,27.96,80.51,5.75,77.29,finger_millet,Kharif,8,OD
42.89,62.51,64.6,26.56,75.28,5.24,92.02,finger_millet,Kharif,7,KA
91.22,34.21,61.44,21.99,67.25,6.42,107.96,finger_millet,Kharif,6,TN
80.65,34.1,30.58,23.6,63.3,6.34,86.94,finger_millet,Kharif,10,OD
87.59,75.64,56.98,25.59,55.76,6.88,128.05,finger_millet,Kharif,10,MH
81.95,53.3,69.82,29.41,57.34,6.0,109.7,finger_millet,Kharif,8,MH
104.61,56.9,41.11,26.23,65.85,6.03,70.14,finger_millet,Kharif,6,AP
48.74,63.45,36.56,27.6,59.64,6.83,95.78,finger_millet,Kharif,8,AP
103.28,72.93,31.88,28.07,64.82,5.7,71.16,finger_millet,Kharif,7,KA
37.98,47.5,70.12,22.78,71.26,5.87,59.74,finger_millet,Kharif,7,OD
44.05,65.03,21.09,26.03,63.35,6.35,95.83,finger_millet,Kharif,9,AP
70.77,59.12,48.12,27.23,59.29,5.95,75.18,finger_millet,Kharif,9,TN
104.75,61.77,53.39,29.4,68.88,6.51,115.19,finger_millet,Kharif,9,KA
48.75,43.3,23.28,23.12,67.74,7.19,75.09,finger_millet,Kharif,9,AP
89.18,60.26,68.49,25.37,61.32,6.11,105.45,finger_millet,Kharif,10,OD
58.18,52.51,66.98,25.92,58.77,6.06,98.3,finger_millet,Kharif,9,TN
84.39,54.72,63.81,26.91,68.95,6.99,74.47,finger_millet,Kharif,10,TN
71.84,64.49,51.25,27.5,85.79,5.52,91.42,finger_millet,Kharif,7,TN
45.06,48.47,19.64,27.67,78.09,6.91,74.53,finger_millet,Kharif,8,OD
47.76,44.73,55.54,27.19,76.5,6.64,115.24,finger_millet,Kharif,9,MH
67.17,74.37,38.09,24.66,59.0,7.26,92.5,finger_millet,Kharif,9,TN
90.79,30.45,26.99,24.99,67.84,5.99,90.34,finger_millet,Kharif,6,MH
59.14,50.36,74.41,27.97,69.23,6.84,80.13,finger_millet,Kharif,7,KA
86.1,57.74,59.15,24.16,56.71,5.82,71.9,finger_millet,Kharif,7,TN
92.52,25.42,36.98,22.35,62.78,6.67,117.36,finger_millet,Kharif,6,OD
62.53,65.3,38.17,26.83,68.14,5.25,70.01,finger_millet,Kharif,6,OD
59.0,43.63,21.14,22.41,62.56,5.95,81.47,finger_millet,Kharif,7,TN
80.69,42.01,39.53,22.11,61.3,5.63,127.64,finger_millet,Kharif,10,AP
118.67,60.11,62.38,24.19,52.96,6.58,107.14,finger_millet,Kharif,10,AP
91.11,40.15,73.38,24.02,69.48,6.86,78.09,finger_millet,Kharif,10,MH
57.68,58.0,40.12,24.69,70.89,5.6,86.36,finger_millet,Kharif,10,TN
94.24,28.43,48.64,23.01,70.47,6.15,105.96,finger_millet,Kharif,7,MH
109.4,64.7,50.16,22.48,70.58,6.93,116.29,finger_millet,Kharif,6,TN
97.46,20.48,31.02,23.86,82.96,6.22,58.09,finger_millet,Kharif,8,MH
41.96,19.79,49.92,28.78,55.74,5.69,95.35,finger_millet,Kharif,9,KA
40.72,55.91,41.4,29.04,61.47,5.91,109.08,finger_millet,Kharif,6,OD
84.83,21.96,23.74,23.21,89.99,6.95,68.48,finger_millet,Kharif,6,AP
92.8,46.09,59.26,23.34,68.46,6.83,97.9,finger_millet,Kharif,10,AP
77.22,55.42,47.34,23.83,79.04,5.81,69.8,finger_millet,Kharif,7,KA
72.27,39.18,38.69,27.53,62.32,6.77,96.01,finger_millet,Kharif,6,OD
92.08,46.37,20.13,27.85,56.99,6.94,58.43,finger_millet,Kharif,9,AP
70.42,36.58,51.9,19.75,68.12,5.89,116.71,finger_millet,Kharif,10,KA
51.06,59.43,61.9,22.69,73.28,6.73,122.83,finger_millet,Kharif,9,AP
37.36,36.58,44.83,22.76,53.79,5.74,95.94,finger_millet,Kharif,6,AP
54.52,55.69,26.36,28.64,80.61,6.61,82.5,finger_millet,Kharif,9,TN
111.24,62.78,76.0,24.74,81.11,6.77,75.76,finger_millet,Kharif,6,KA
51.0,61.16,22.98,28.49,78.07,6.35,74.84,finger_millet,Kharif,8,OD
94.25,55.34,59.66,23.51,84.94,7.3,80.65,finger_millet,Kharif,9,OD
94.35,31.01,32.98,25.27,65.43,5.76,84.21,finger_millet,Kharif,9,AP
87.86,60.05,53.43,28.21,82.2,6.6,111.6,finger_millet,Kharif,10,TN
86.23,57.73,31.72,25.95,76.83,5.87,60.65,finger_millet,Kharif,8,KA
114.33,57.61,68.54,21.79,79.25,6.24,101.76,finger_millet,Kharif,6,OD
80.6,37.95,35.5,28.33,71.74,6.76,85.48,finger_millet,Kharif,9,MH
76.1,41.78,31.32,23.92,61.43,6.18,107.25,finger_millet,Kharif,9,MH
44.2,24.99,50.98,26.44,68.22,6.46,58.36,finger_millet,Kharif,8,KA
53.85,65.12,66.72,28.97,70.18,6.59,70.28,finger_millet,Kharif,10,TN
103.35,39.31,30.94,25.7,75.82,5.76,96.53,finger_millet,Kharif,6,MH
83.57,61.25,50.49,20.84,69.03,6.7,93.39,finger_millet,Kharif,8,MH
86.97,35.46,51.08,26.15,75.13,6.73,118.51,finger_millet,Kharif,8,AP
55.28,49.23,60.89,25.81,69.13,6.96,91.84,finger_millet,Kharif,6,MH
100.01,64.64,39.94,27.39,70.19,5.93,93.74,finger_millet,Kharif,6,AP
56.15,67.25,33.23,29.9,80.32,7.09,98.43,finger_millet,Kharif,7,TN
71.28,39.04,34.09,29.13,85.75,5.53,71.29,finger_millet,Kharif,8,KA
39.91,53.14,64.09,27.13,86.4,6.4,91.21,finger_millet,Kharif,10,MH
106.61,46.46,39.68,23.02,66.48,6.48,110.56,finger_millet,Kharif,6,MH
77.09,24.85,28.66,27.26,73.38,6.39,72.75,finger_millet,Kharif,10,MH
88.85,69.52,49.03,27.22,71.96,6.83,76.14,finger_millet,Kharif,7,KA
42.35,23.0,18.61,26.59,68.82,6.3,115.98,finger_millet,Kharif,6,KA
73.81,36.42,44.83,23.59,54.1,6.41,97.6,finger_millet,Kharif,7,MH
64.04,39.81,39.83,25.01,79.56,5.6,114.95,finger_millet,Kharif,6,AP
61.34,62.3,40.71,26.42,83.09,5.64,114.19,finger_millet,Kharif,10,OD
87.27,62.88,31.32,25.24,67.82,5.57,95.08,finger_millet,Kharif,8,KA
92.66,58.67,27.6,27.24,78.1,5.63,68.5,finger_millet,Kharif,10,OD
93.99,55.41,78.1,28.07,58.01,6.04,75.69,finger_millet,Kharif,8,OD
100.29,55.49,39.16,22.15,75.46,6.88,94.38,finger_millet,Kharif,7,AP
109.08,47.54,66.79,24.99,58.02,5.71,113.12,finger_millet,Kharif,8,OD
80.18,24.92,51.86,27.92,86.77,6.58,75.28,finger_millet,Kharif,8,AP
46.88,36.94,23.24,20.58,59.58,6.17,88.88,finger_millet,Kharif,9,AP
108.05,26.64,28.08,24.92,58.07,5.97,97.97,finger_millet,Kharif,7,OD
62.96,43.21,57.7,22.04,88.83,6.16,80.78,finger_millet,Kharif,8,MH
49.1,24.16,49.37,25.87,89.24,6.41,77.26,finger_millet,Kharif,8,TN
72.62,53.25,36.71,25.95,85.8,6.4,79.36,finger_millet,Kharif,7,AP
42.24,59.05,39.89,29.18,73.38,6.29,79.74,finger_millet,Kharif,6,TN
79.58,58.81,25.98,27.06,80.71,5.7,62.19,finger_millet,Kharif,8,MH
43.1,62.2,17.25,28.14,51.29,6.74,106.64,finger_millet,Kharif,10,MH
58.51,33.87,41.93,27.19,59.61,6.47,106.38,finger_millet,Kharif,10,TN
106.01,36.67,71.24,24.19,77.29,6.57,61.29,finger_millet,Kharif,9,MH
96.3,24.3,32.26,24.63,85.8,6.24,90.69,finger_millet,Kharif,6,OD
